Player,Pos,ADP,+/-,%,σ
Bryce Young,QB26,147.1,10.6,6.7%,4.6
Mark Andrews,TE17,147.3,-10.7,-7.8%,3.0
Tyrone Tracy,RB46,149.0,2.6,1.7%,6.5
Fernando Mendoza,QB27,149.8,6.4,4.1%,6.9
Jonathon Brooks,RB47,150.1,56.2,27.2%,10.9
Stefon Diggs,WR61,150.4,-83.2,-123.8%,25.0
Brenton Strange,TE18,150.7,-39.5,-35.5%,9.6
Travis Hunter,WR62,153.6,-23.0,-17.6%,6.2
Brandon Aiyuk,WR63,154.3,-17.0,-12.4%,4.4
Keaton Mitchell,RB48,155.2,55.5,26.3%,17.3
Juwan Johnson,TE19,156.5,16.0,9.3%,5.4
Jacoby Brissett,QB28,157.2,47.5,23.2%,14.4
Jerry Jeudy,WR64,160.8,-30.2,-23.1%,6.0
Deebo Samuel,WR65,161.0,-33.4,-26.2%,11.2
Hunter Henry,TE20,161.1,-13.1,-8.9%,6.4
James Conner,RB49,161.7,-1.0,-0.6%,7.9
Chig Okonkwo,TE21,161.9,74.2,31.4%,27.5
Woody Marks,RB50,162.8,-49.3,-43.4%,17.3
Emanuel Wilson,RB51,164.9,42.9,20.6%,17.5
Emmett Johnson,RB52,166.8,-28.0,-20.2%,14.2
Isiah Pacheco,RB53,167.8,53.0,24.0%,27.1
Kayshon Boutte,WR66,169.1,-60.7,-56.0%,16.7
Adonai Mitchell,WR67,169.9,-12.7,-8.1%,6.3
Geno Smith,QB29,170.9,68.7,28.7%,26.7
Calvin Ridley,WR68,172.3,-8.0,-4.9%,2.7
Isaac TeSlaa,WR69,172.9,21.9,11.2%,4.6
AJ Barner,TE22,173.8,-19.0,-12.3%,3.8
Jalen Nailor,WR70,174.9,62.2,26.2%,26.2
T.J. Hockenson,TE23,175.3,5.9,3.3%,4.8
Tyreek Hill,WR71,175.9,-30.0,-20.6%,10.1
Tyjae Spears,RB54,176.8,-34.8,-24.5%,8.0
Dylan Sampson,RB55,178.4,0.0,0.0%,2.1
Dalton Schultz,TE24,178.7,-12.9,-7.8%,4.2
Tank Dell,WR72,179.2,-18.5,-11.5%,4.0
Tre' Harris,WR73,182.2,33.7,15.6%,7.3
Brian Robinson,RB56,183.2,37.1,16.8%,7.2
Eli Stowers,TE25,183.3,28.6,13.5%,17.7
Sean Tucker,RB57,185.2,-26.0,-16.3%,6.7
Tank Bigsby,RB58,185.8,-6.8,-3.8%,3.4
Darnell Mooney,WR74,186.2,15.9,7.9%,12.0
Christian Kirk,WR75,186.9,16.0,7.9%,17.3
Malik Washington,WR76,189.1,42.8,18.5%,13.5
Chimere Dike,WR77,189.5,-8.8,-4.9%,5.0
David Njoku,TE26,192.3,22.8,10.6%,9.0
Nicholas Singleton,RB59,192.9,3.5,1.8%,7.1
Tre Tucker,WR78,193.0,-4.8,-2.6%,3.6
Alvin Kamara,RB60,193.4,-25.7,-15.3%,16.4
Mason Taylor,TE27,193.7,8.0,4.0%,3.3
Tua Tagovailoa,QB30,195.7,38.9,16.6%,15.1
Cade Otton,TE28,197.1,5.9,2.9%,5.5
Gunnar Helm,TE29,199.5,33.3,14.3%,6.3
Braelon Allen,RB61,200.0,-4.4,-2.2%,14.9
Pat Bryant,WR79,202.9,-72.5,-55.6%,17.0
Kimani Vidal,RB62,203.8,-53.8,-35.9%,12.0
Aaron Rodgers,QB31,203.9,30.2,12.9%,8.2
Elijah Sarratt,WR80,204.4,-98.0,-92.1%,24.0
Ryan Flournoy,WR81,204.5,29.2,12.5%,6.2
Chris Brazzell II,WR82,205.3,19.7,8.8%,5.9
Terrance Ferguson,TE30,207.3,-30.9,-17.5%,8.6
Kaytron Allen,RB63,207.9,-83.8,-67.5%,21.3
Pat Freiermuth,TE31,209.0,16.0,7.1%,5.6
Troy Franklin,WR83,209.2,-39.3,-23.1%,13.6
Ray Davis,RB64,210.3,5.8,2.7%,4.9
Trey Benson,RB65,210.9,-14.3,-7.3%,24.1
Hollywood Brown,WR84,211.5,21.7,9.3%,9.8
Germie Bernard,WR85,212.8,-32.5,-18.0%,12.1
Tory Horton,WR86,213.2,-14.5,-7.3%,7.2
Zachariah Branch,WR87,213.2,-30.1,-16.4%,7.1
Jordan James,RB66,214.5,24.2,10.1%,4.7
Najee Harris,RB67,215.6,7.1,3.2%,6.5
Michael Penix,QB32,217.0,-23.4,-12.1%,15.9
Jake Tonges,TE32,219.9,0.5,0.2%,4.7
Elic Ayomanor,WR88,222.6,-8.3,-3.9%,10.3
Ollie Gordon,RB68,223.3,5.9,2.6%,4.0
Ty Simpson,QB33,223.7,-2.3,-1.0%,3.5
Devaughn Vele,WR89,224.6,-30.0,-15.4%,7.5
Colby Parkinson,TE33,225.4,-49.0,-27.8%,13.6
Kyle Williams,WR90,226.4,-40.2,-21.6%,8.6
George Holani,RB69,226.5,13.1,5.5%,8.4
Shedeur Sanders,QB34,227.2,-5.2,-2.3%,12.3
Tez Johnson,WR91,230.1,8.7,3.6%,3.4
Chris Bell,WR92,230.4,-70.7,-44.3%,17.2
Cooper Kupp,WR93,230.8,-39.0,-20.3%,8.0
Ted Hurst,WR93,230.8,9.1,3.8%,2.4
Mike Gesicki,TE34,230.9,5.7,2.4%,1.8
Justice Hill,RB70,231.2,8.0,3.3%,3.1
Jaydon Blue,RB71,231.5,-4.4,-1.9%,4.8
Demond Claiborne,RB72,233.4,-62.0,-36.2%,13.0
Rashod Bateman,WR95,233.7,-33.7,-16.8%,6.2
Ja'Kobi Lane,WR96,233.8,-92.4,-65.3%,19.9
Theo Johnson,TE35,233.9,-57.6,-32.7%,25.0
Jaylin Noel,WR97,234.0,-20.9,-9.8%,3.8
Dontayvion Wicks,WR98,234.2,-11.8,-5.3%,3.1
Justin Fields,QB35,234.3,5.1,2.1%,3.2
Deshaun Watson,QB36,235.1,4.2,1.8%,0.9
Jalen Tolbert,WR99,235.2,4.7,2.0%,2.5
Emari Demercado,RB73,235.2,4.8,2.0%,2.7
Greg Dulcich,TE36,235.4,4.6,1.9%,2.1
Antonio Williams,WR100,235.8,3.5,1.5%,1.1
Evan Engram,TE37,236.0,-6.1,-2.7%,2.3
Jahan Dotson,WR101,236.6,3.1,1.3%,1.4
Keon Coleman,WR102,236.7,-25.6,-12.1%,13.8
Keenan Allen,WR103,236.7,-21.4,-9.9%,4.1
Adam Randall,RB74,237.2,0.5,0.2%,4.3
DJ Giddens,RB75,237.3,1.2,0.5%,0.5
Tyquan Thornton,WR104,237.8,2.0,0.8%,1.7
Jaylen Wright,RB76,237.9,-0.5,-0.2%,0.8
Joe Mixon,RB77,238.0,-26.3,-12.4%,23.6
Seth McGowan,RB78,238.4,0.9,0.4%,0.6
LeQuint Allen,RB79,238.4,1.1,0.5%,3.3
Malachi Fields,WR105,238.5,1.2,0.5%,6.1
Darius Slayton,WR106,238.5,-5.7,-2.4%,1.2
Chris Brooks,RB80,238.6,1.4,0.6%,0.5
Darnell Washington,TE38,238.6,0.6,0.3%,0.5
Skyler Bell,WR107,238.7,0.5,0.2%,0.5
Mac Jones,QB37,238.8,-1.1,-0.5%,2.1
Kirk Cousins,QB38,238.8,-15.4,-6.9%,5.6
Michael Mayer,TE39,238.8,0.3,0.1%,0.3
Jack Bech,WR108,238.9,-31.9,-15.4%,6.3
Mack Hollins,WR109,238.9,0.1,0.0%,1.1
Andrei Iosivas,WR110,238.9,0.4,0.2%,0.3
Kendrick Bourne,WR110,238.9,0.8,0.3%,0.4
Isaiah Bond,WR112,239.0,-3.2,-1.4%,1.4
Kaleb Johnson,RB81,239.1,-31.3,-15.1%,13.2
Elijah Arroyo,TE40,239.2,-6.9,-3.0%,1.4
J.J. McCarthy,QB39,239.2,-52.4,-28.1%,23.3
Isaac Guerendo,RB82,239.2,0.7,0.3%,0.2
Dawson Knox,TE41,239.3,-1.1,-0.5%,0.4
Bryce Lance,WR113,239.3,0.4,0.2%,0.6
Devin Neal,RB83,239.4,-6.6,-2.8%,5.8
Tutu Atwell,WR114,239.4,0.6,0.2%,0.8
Ty Johnson,RB84,239.4,0.2,0.1%,0.4
Cole Kmet,TE42,239.4,-1.1,-0.5%,0.2
Brashard Smith,RB85,239.5,-6.8,-2.9%,9.7
Xavier Legette,WR115,239.5,-25.4,-11.9%,4.0
Devontez Walker,WR115,239.5,0.1,0.0%,0.1
Tyler Higbee,TE43,239.5,-1.6,-0.7%,0.4
Max Klare,TE44,239.5,-12.7,-5.6%,1.9
Olamide Zaccheaus,WR117,239.5,0.3,0.1%,0.5
Oscar Delp,TE45,239.5,0.5,0.2%,0.1
MarShawn Lloyd,RB86,239.5,0.3,0.1%,0.3
DeMario Douglas,WR118,239.6,-1.7,-0.7%,0.8
Kalif Raymond,WR119,239.6,0.4,0.2%,0.1
Ja'Tavion Sanders,TE46,239.6,-3.1,-1.3%,0.5
Luke McCaffrey,WR120,239.6,0.3,0.1%,0.1
Samaje Perine,RB87,239.6,0.1,0.0%,0.1
Marvin Mims Jr.,WR121,239.7,-20.4,-9.3%,12.9
Anthony Richardson,QB40,239.7,-1.6,-0.7%,1.3
Malik Davis,RB88,239.7,0.3,0.1%,0.1
Jaylin Lane,WR122,239.7,0.0,0.0%,0.1
Tahj Brooks,RB89,239.7,0.0,0.0%,0.1
Gardner Minshew II,QB41,239.7,0.2,0.1%,0.1
Sam Roush,TE47,239.7,0.3,0.1%,0.1
Michael Trigg,TE48,239.7,-10.0,-4.4%,1.5
Calvin Austin III,WR123,239.8,-0.2,-0.1%,0.3
Jerome Ford,RB90,239.8,0.2,0.1%,0.5
Jalen Milroe,QB42,239.8,-0.3,-0.1%,0.4
Treylon Burks,WR124,239.8,0.1,0.0%,0.2
Kareem Hunt,RB91,239.8,-0.2,-0.1%,0.3
KeAndre Lambert-Smith,WR125,239.8,-0.8,-0.3%,0.2
Trevor Etienne,RB92,239.8,-0.2,-0.1%,0.2
Joe Flacco,QB43,239.8,0.2,0.1%,0.1
John Metchie III,WR126,239.8,-0.1,0.0%,0.1
J'Mari Taylor,RB93,239.8,-1.4,-0.6%,0.5
Kaelon Black,RB93,239.8,0.1,0.0%,0.2
KaVontae Turpin,WR127,239.8,-0.1,0.0%,0.1
Joe Milton,QB44,239.9,0.1,0.0%,0.0
Riley Leonard,QB45,239.9,0.1,0.0%,0.1
Treyton Welch,TE49,239.9,0.0,0.0%,0.0
Jaydn Ott,RB95,239.9,0.0,0.0%,0.1
Elijah Moore,WR128,239.9,0.1,0.0%,0.0
Zach Ertz,TE50,239.9,0.1,0.0%,0.2
Nick Westbrook-Ikhine,WR129,239.9,0.1,0.0%,0.1
Quinn Ewers,QB46,239.9,-0.4,-0.2%,0.2
Odell Beckham Jr.,WR130,239.9,-0.1,0.0%,0.1
Jam Miller,RB96,239.9,0.0,0.0%,0.1
De'Zhaun Stribling,WR130,239.9,-0.1,0.0%,0.0
Mitchell Evans,TE51,239.9,-0.1,0.0%,0.1
Tyler Conklin,TE51,239.9,0.0,0.0%,0.1
Noah Fant,TE53,239.9,0.1,0.0%,0.1
Savion Williams,WR132,239.9,0.0,0.0%,0.1
Isaiah Davis,RB97,239.9,-0.4,-0.2%,1.0
Will Shipley,RB97,239.9,-0.1,0.0%,0.1
Will Howard,QB47,239.9,0.1,0.0%,0.1
Jarquez Hunter,RB97,239.9,-0.1,0.0%,0.1
Le'Veon Moss,RB97,239.9,-0.6,-0.3%,0.3
Tai Felton,WR133,239.9,0.1,0.0%,0.1
Greg Dortch,WR133,239.9,0.1,0.0%,0.1
